Name,URL
Touat-Cheikh Sidi Mohamed Belkebir Airport,https://en.wikipedia.org/wiki/Touat-Cheikh_Sidi_Mohamed_Belkebir_Airport
Houari Boumediene Airport,https://en.wikipedia.org/wiki/Houari_Boumediene_Airport
Rabah Bitat Airport,https://en.wikipedia.org/wiki/Rabah_Bitat_Airport
Abane Ramdane Airport,https://en.wikipedia.org/wiki/Abane_Ramdane_Airport
Biskra Airport,https://en.wikipedia.org/wiki/Biskra_Airport
Chlef International Airport,https://en.wikipedia.org/wiki/Chlef_International_Airport
Mohamed Boudiaf International Airport,https://en.wikipedia.org/wiki/Mohamed_Boudiaf_International_Airport
Oued IraraûKrim Belkacem Airport,https://en.wikipedia.org/wiki/Oued_Irara%E2%80%93Krim_Belkacem_Airport
Jijel Ferhat Abbas Airport,https://en.wikipedia.org/wiki/Jijel_Ferhat_Abbas_Airport
Ahmed Ben Bella Airport,https://en.wikipedia.org/wiki/Ahmed_Ben_Bella_Airport
Ain Arnat Airport,https://en.wikipedia.org/wiki/Ain_Arnat_Airport
AguenaruHadj Bey Akhamok Airport,https://en.wikipedia.org/wiki/Aguenar_%E2%80%93_Hadj_Bey_Akhamok_Airport
Zenata  Messali El Hadj Airport,https://en.wikipedia.org/wiki/Zenata_%E2%80%93_Messali_El_Hadj_Airport
Sir Seretse Khama International Airport,https://en.wikipedia.org/wiki/Sir_Seretse_Khama_International_Airport
Maun Airport,https://en.wikipedia.org/wiki/Maun_Airport
Francistown International Airport,https://en.wikipedia.org/wiki/Francistown_International_Airport
Kasane Airport,https://en.wikipedia.org/wiki/Kasane_Airport
Douala International Airport,https://en.wikipedia.org/wiki/Douala_International_Airport
Nelson Mandela International Airport,https://en.wikipedia.org/wiki/Nelson_Mandela_International_Airport
Aristides Pereira International Airport,https://en.wikipedia.org/wiki/Aristides_Pereira_International_Airport
Bangui M Poko International Airport,https://en.wikipedia.org/wiki/Bangui_M%27Poko_International_Airport
N Djamena International Airport,https://en.wikipedia.org/wiki/N%27Djamena_International_Airport
Prince Said Ibrahim International Airport,https://en.wikipedia.org/wiki/Prince_Said_Ibrahim_International_Airport
