Name,URL,
Egyptian Field Hospital at Bagram,https://en.wikipedia.org/wiki/Egyptian_Field_Hospital_at_Bagram,
Farah City Hospital,https://en.wikipedia.org/wiki/Farah_City_Hospital,
French Medical Institute for Children,https://en.wikipedia.org/wiki/French_Medical_Institute_for_Children,
Bagram Airfield,https://en.wikipedia.org/wiki/Bagram_Airfield,
Indira Gandhi Children's Hospital,https://en.wikipedia.org/wiki/Indira_Gandhi_Children%27s_Hospital,
Ad-din Women's Medical College,https://en.wikipedia.org/wiki/Ad-din_Women%27s_Medical_College,
Anwer Khan Modern Medical College,https://en.wikipedia.org/wiki/Anwer_Khan_Modern_Medical_College,
Evercare Hospital Dhaka,https://en.wikipedia.org/wiki/Evercare_Hospital_Dhaka,
Bangabandhu Memorial Hospital,https://en.wikipedia.org/wiki/Bangabandhu_Memorial_Hospital,
Bangabandhu Sheikh Mujib Medical University,https://en.wikipedia.org/wiki/Bangabandhu_Sheikh_Mujib_Medical_University,
Bangladesh College of Nursing,https://en.wikipedia.org/wiki/Bangladesh_College_of_Nursing,
Bangladesh Medical College,https://en.wikipedia.org/wiki/Bangladesh_Medical_College,
Chittagong Medical College,https://en.wikipedia.org/wiki/Chittagong_Medical_College,
Cumilla Medical College,https://en.wikipedia.org/wiki/Cumilla_Medical_College,
Dhaka Central International Medical College,https://en.wikipedia.org/wiki/Dhaka_Central_International_Medical_College,
Dhaka Dental College and Hospital,https://en.wikipedia.org/wiki/Dhaka_Dental_College_and_Hospital,
Dhaka Medical College and Hospital,https://en.wikipedia.org/wiki/Dhaka_Medical_College_and_Hospital,
Dhaka Shishu Hospital,https://en.wikipedia.org/wiki/Dhaka_Shishu_Hospital,
M Abdur Rahim Medical College and Hospital,https://en.wikipedia.org/wiki/M_Abdur_Rahim_Medical_College_and_Hospital,
Gazi Medical College,https://en.wikipedia.org/wiki/Gazi_Medical_College,
Bangladesh Institute of Child and Mother Health,https://en.wikipedia.org/wiki/Bangladesh_Institute_of_Child_and_Mother_Health,
Ispahani Islamia Eye Institute and Hospital,https://en.wikipedia.org/wiki/Ispahani_Islamia_Eye_Institute_and_Hospital,
Khulna Medical College,https://en.wikipedia.org/wiki/Khulna_Medical_College,
Kumudini Hospital,https://en.wikipedia.org/wiki/Kumudini_Hospital,
Syed Modasser Ali,https://en.wikipedia.org/wiki/Syed_Modasser_Ali,
Mymensingh Medical College,https://en.wikipedia.org/wiki/Mymensingh_Medical_College,
"National Institute of Cardiovascular Diseases, Bangladesh","https://en.wikipedia.org/wiki/National_Institute_of_Cardiovascular_Diseases,_Bangladesh",
"National Institute of Ear, Nose and Throat (ENT), Bangladesh","https://en.wikipedia.org/wiki/National_Institute_of_Ear,_Nose_and_Throat_(ENT),_Bangladesh",
Sylhet MAG Osmani Medical College,https://en.wikipedia.org/wiki/Sylhet_MAG_Osmani_Medical_College,
Rajshahi Medical College,https://en.wikipedia.org/wiki/Rajshahi_Medical_College,
Rangpur Medical College,https://en.wikipedia.org/wiki/Rangpur_Medical_College,
Shaheed Ziaur Rahman Medical College,https://en.wikipedia.org/wiki/Shaheed_Ziaur_Rahman_Medical_College,
Sher-e-Bangla Medical College,https://en.wikipedia.org/wiki/Sher-e-Bangla_Medical_College,
First Affiliated Hospital of Zhengzhou University,https://en.wikipedia.org/wiki/First_Affiliated_Hospital_of_Zhengzhou_University,
West China Medical Center,https://en.wikipedia.org/wiki/West_China_Medical_Center,
Linkou Chang Gung Memorial Hospital,https://en.wikipedia.org/wiki/Linkou_Chang_Gung_Memorial_Hospital,
Ankara Bilkent City Hospital,https://en.wikipedia.org/wiki/Ankara_Bilkent_City_Hospital,
National Hospital of Sri Lanka,https://en.wikipedia.org/wiki/National_Hospital_of_Sri_Lanka,
Chris Hani Baragwanath Hospital,https://en.wikipedia.org/wiki/Chris_Hani_Baragwanath_Hospital,
Qasr El Eyni Hospital,https://en.wikipedia.org/wiki/Qasr_El_Eyni_Hospital,
"Government Medical College, Kozhikode","https://en.wikipedia.org/wiki/Government_Medical_College,_Kozhikode",
Taipei Veterans General Hospital,https://en.wikipedia.org/wiki/Taipei_Veterans_General_Hospital,
Ahmedabad Civil Hospital,https://en.wikipedia.org/wiki/Ahmedabad_Civil_Hospital,
Rajiv Gandhi Government General Hospital,https://en.wikipedia.org/wiki/Rajiv_Gandhi_Government_General_Hospital,
 Asan Medical Center,https://en.wikipedia.org/wiki/Asan_Medical_Center,
Basaksehir Cam and Sakura City Hospital,https://en.wikipedia.org/wiki/Ba%C5%9Fak%C5%9Fehir_%C3%87am_and_Sakura_City_Hospital,
Helsinki University Central Hospital,https://en.wikipedia.org/wiki/Helsinki_University_Central_Hospital,
Government Rajaji Hospital,https://en.wikipedia.org/wiki/Government_Rajaji_Hospital,
Hospital das Clínicas da Universidade de São Paulo,https://en.wikipedia.org/wiki/Hospital_das_Cl%C3%ADnicas_da_Universidade_de_S%C3%A3o_Paulo,
Beijing Hospital of Traditional Chinese Medicine, https://en.wikipedia.org/wiki/Beijing_Hospital_of_Traditional_Chinese_Medicine,
Severance Hospital,https://en.wikipedia.org/wiki/Severance_Hospital,
Motol University Hospital,https://en.wikipedia.org/wiki/Motol_University_Hospital,
Singapore General Hospital,https://en.wikipedia.org/wiki/Singapore_General_Hospital,
National Taiwan University Hospital,https://en.wikipedia.org/wiki/National_Taiwan_University_Hospital,
Christian Medical College Vellore,https://en.wikipedia.org/wiki/Christian_Medical_College_Vellore,
Agostino Gemelli University Policlinic,https://en.wikipedia.org/wiki/Agostino_Gemelli_University_Policlinic,
Kuala Lumpur Hospital,https://en.wikipedia.org/wiki/Kuala_Lumpur_Hospital,
Dhaka Medical College and Hospital,https://en.wikipedia.org/wiki/Dhaka_Medical_College_and_Hospital,
Vienna General Hospital,https://en.wikipedia.org/wiki/Vienna_General_Hospital,
Ljubljana University Medical Centre,https://en.wikipedia.org/wiki/Ljubljana_University_Medical_Centre,
Tirunelveli Medical College,https://en.wikipedia.org/wiki/Tirunelveli_Medical_College,
Mayo Clinic Hospital (Rochester),https://en.wikipedia.org/wiki/Mayo_Clinic_Hospital_(Rochester),
UZ Leuven,https://en.wikipedia.org/wiki/UZ_Leuven,
Samsung Medical Center,https://en.wikipedia.org/wiki/Samsung_Medical_Center,
Oslo University Hospital,https://en.wikipedia.org/wiki/Oslo_University_Hospital,
Tri-Service General Hospital,https://en.wikipedia.org/wiki/Tri-Service_General_Hospital,
University Medical Center Freiburg,https://en.wikipedia.org/wiki/University_Medical_Center_Freiburg,
Kenyatta National Hospital,https://en.wikipedia.org/wiki/Kenyatta_National_Hospital,
Clinic Klagenfurt am Woerthersee,https://en.wikipedia.org/wiki/Clinic_Klagenfurt_am_Woerthersee,
JSS Medical College,https://en.wikipedia.org/wiki/JSS_Medical_College,
