Name,URL
Tucson Mosque,https://en.wikipedia.org/wiki/Tucson_Mosque
Mosque Maryam,https://en.wikipedia.org/wiki/Mosque_Maryam
Diyanet Center of America,https://en.wikipedia.org/wiki/Diyanet_Center_of_America
Islamic Center of America,https://en.wikipedia.org/wiki/Islamic_Center_of_America
Islamic Cultural Center of New York,https://en.wikipedia.org/wiki/Islamic_Cultural_Center_of_New_York
Masjid Malcolm Shabazz,https://en.wikipedia.org/wiki/Masjid_Malcolm_Shabazz
Islamic Center of Washington,https://en.wikipedia.org/wiki/Islamic_Center_of_Washington
Ulugh Beg Madrasa,https://en.wikipedia.org/wiki/Ulugh_Beg_Madrasa
Mosque of Sheikh Ibrahim Al-Ibrahim,https://en.wikipedia.org/wiki/Mosque_of_Sheikh_Ibrahim_Al-Ibrahim
Al-Muhdhar Mosque,https://en.wikipedia.org/wiki/Al-Muhdhar_Mosque
Al Saleh Mosque,https://en.wikipedia.org/wiki/Al_Saleh_Mosque
Abdul Rahman Mosque,https://en.wikipedia.org/wiki/Abdul_Rahman_Mosque
Great Mosque of Herat,https://en.wikipedia.org/wiki/Great_Mosque_of_Herat
Hazrat Ali Mazar,https://en.wikipedia.org/wiki/Hazrat_Ali_Mazar
Ethem Bey Mosque,https://en.wikipedia.org/wiki/Et%27hem_Bey_Mosque
Djamaa el Kebir,https://en.wikipedia.org/wiki/Djamaa_el_Kebir
Ketchaoua Mosque,https://en.wikipedia.org/wiki/Ketchaoua_Mosque
King Fahd Islamic Cultural Center,https://en.wikipedia.org/wiki/King_Fahd_Islamic_Cultural_Center
"Blue Mosque, Yerevan","https://en.wikipedia.org/wiki/Blue_Mosque,_Yerevan"
Auburn Gallipoli Mosque,https://en.wikipedia.org/wiki/Auburn_Gallipoli_Mosque
Lakemba Mosque,https://en.wikipedia.org/wiki/Lakemba_Mosque
Telfs Mosque,https://en.wikipedia.org/wiki/Telfs_Mosque
Vienna Islamic Centre,https://en.wikipedia.org/wiki/Vienna_Islamic_Centre
Al Fateh Grand Mosque,https://en.wikipedia.org/wiki/Al_Fateh_Grand_Mosque
Baitul Mukarram National Mosque,https://en.wikipedia.org/wiki/Baitul_Mukarram_National_Mosque
Kakrail Mosque,https://en.wikipedia.org/wiki/Kakrail_Mosque
Sixty Dome Mosque,https://en.wikipedia.org/wiki/Sixty_Dome_Mosque
Khan Mohammad Mridha Mosque,https://en.wikipedia.org/wiki/Khan_Mohammad_Mridha_Mosque
Choto Sona Mosque,https://en.wikipedia.org/wiki/Choto_Sona_Mosque
Bagha Mosque,https://en.wikipedia.org/wiki/Bagha_Mosque
Ferhat Pasha Mosque,https://en.wikipedia.org/wiki/Ferhat_Pasha_Mosque
Emperor Mosque,https://en.wikipedia.org/wiki/Emperor%27s_Mosque
Ali Pasha Mosque,https://en.wikipedia.org/wiki/Ali_Pasha_Mosque_(Sarajevo)
Gazi Husrev-beg Mosque,https://en.wikipedia.org/wiki/Gazi_Husrev-beg_Mosque
Kara oz Bey Mosque,https://en.wikipedia.org/wiki/Kara%C4%91oz_Bey_Mosque
Mesquita Omar Ibn Al-Khatab,https://en.wikipedia.org/wiki/Mesquita_Omar_Ibn_Al-Khatab
Omar Ali Saifuddien Mosque,https://en.wikipedia.org/wiki/Omar_Ali_Saifuddien_Mosque
Dzhumaya Mosque,https://en.wikipedia.org/wiki/Dzhumaya_Mosque
Dongguan Mosque,https://en.wikipedia.org/wiki/Dongguan_Mosque
Niujie Mosque,https://en.wikipedia.org/wiki/Niujie_Mosque
Id Kah Mosque,https://en.wikipedia.org/wiki/Id_Kah_Mosque
Muslim Mosque in Lhasa,https://en.wikipedia.org/wiki/Muslim_Mosque_in_Lhasa
Great Mosque of Xian,https://en.wikipedia.org/wiki/Great_Mosque_of_Xi%27an
Kowloon Masjid and Islamic Centre,https://en.wikipedia.org/wiki/Kowloon_Masjid_and_Islamic_Centre
Jamia Mosque (Hong Kong),https://en.wikipedia.org/wiki/Jamia_Mosque_(Hong_Kong)
Mosque of Omar Ibn Al-Khattab,https://en.wikipedia.org/wiki/Mosque_of_Omar_Ibn_Al-Khattab
Hamoudi Mosque,https://en.wikipedia.org/wiki/Hamoudi_Mosque
Mosque of Muhammad Ali,https://en.wikipedia.org/wiki/Mosque_of_Muhammad_Ali
Mosque-Madrasa of Sultan Hassan,https://en.wikipedia.org/wiki/Mosque-Madrasa_of_Sultan_Hassan
Al-Hakim Mosque,https://en.wikipedia.org/wiki/Al-Hakim_Mosque
Al-Azhar Mosque,https://en.wikipedia.org/wiki/Al-Azhar_Mosque
Al-Hussein Mosque,https://en.wikipedia.org/wiki/Al-Hussein_Mosque
Mosque of Ibn Tulun,https://en.wikipedia.org/wiki/Mosque_of_Ibn_Tulun
Abu al-Abbas al-Mursi Mosque,https://en.wikipedia.org/wiki/Abu_al-Abbas_al-Mursi_Mosque
Great Mosque of Asmara,https://en.wikipedia.org/wiki/Great_Mosque_of_Asmara
Grand Mosque of Évry,https://en.wikipedia.org/wiki/Grand_Mosque_of_%C3%89vry
Grand Mosque of Paris,https://en.wikipedia.org/wiki/Grand_Mosque_of_Paris
Cologne Central Mosque,https://en.wikipedia.org/wiki/Cologne_Central_Mosque
Khadija Mosque,https://en.wikipedia.org/wiki/Khadija_Mosque
Periamet Mosque,https://en.wikipedia.org/wiki/Periamet_Mosque
Cheraman Juma Mosque,https://en.wikipedia.org/wiki/Cheraman_Juma_Mosque
Jama Masjid Delhi,"https://en.wikipedia.org/wiki/Jama_Masjid,_Delhi"
Charminar,https://en.wikipedia.org/wiki/Charminar
Adina Mosque,https://en.wikipedia.org/wiki/Adina_Mosque
Ziarat Shareef,https://en.wikipedia.org/wiki/Ziarat_Shareef
Jama Mosque Bhilai,"https://en.wikipedia.org/wiki/Jama_Mosque,_Bhilai"
Demak Great Mosque,https://en.wikipedia.org/wiki/Demak_Great_Mosque
Menara Kudus Mosque,https://en.wikipedia.org/wiki/Menara_Kudus_Mosque
Baiturrahman Grand Mosque,https://en.wikipedia.org/wiki/Baiturrahman_Grand_Mosque
Kauman Great Mosque,https://en.wikipedia.org/wiki/Kauman_Great_Mosque
Istiqlal Mosque Jakarta,"https://en.wikipedia.org/wiki/Istiqlal_Mosque,_Jakarta"
Jameh Mosque of Isfahan,https://en.wikipedia.org/wiki/Jameh_Mosque_of_Isfahan
Jameh Mosque of Makki,https://en.wikipedia.org/wiki/Jameh_Mosque_of_Makki
Shah Mosque (Isfahan),https://en.wikipedia.org/wiki/Shah_Mosque_(Isfahan)
Blue Mosque Tabriz,"https://en.wikipedia.org/wiki/Blue_Mosque,_Tabriz"
Imam Reza Shrine,https://en.wikipedia.org/wiki/Imam_Reza_Shrine
Fatima Masumeh Shrine,https://en.wikipedia.org/wiki/Fatima_Masumeh_Shrine
Great Mosque of Kufa,https://en.wikipedia.org/wiki/Great_Mosque_of_Kufa
Al-Kadhimiya Mosque,https://en.wikipedia.org/wiki/Al-Kadhimiya_Mosque
Imam Husayn Shrine,https://en.wikipedia.org/wiki/Imam_Husayn_Shrine
Al-Abbas Shrine,https://en.wikipedia.org/wiki/Al-Abbas_Shrine
Great Mosque of al-Nuri Mosul,"https://en.wikipedia.org/wiki/Great_Mosque_of_al-Nuri,_Mosul"
Imam Ali Shrine,https://en.wikipedia.org/wiki/Imam_Ali_Shrine
Al-Askari Shrine,https://en.wikipedia.org/wiki/Al-Askari_Shrine
Great Mosque of Samarra,https://en.wikipedia.org/wiki/Great_Mosque_of_Samarra
Mahmood Mosque Haifa,"https://en.wikipedia.org/wiki/Mahmood_Mosque,_Haifa"
Hassan Bek Mosque,https://en.wikipedia.org/wiki/Hassan_Bek_Mosque
El-Jazzar Mosque,https://en.wikipedia.org/wiki/El-Jazzar_Mosque
Sidna Ali Mosque,https://en.wikipedia.org/wiki/Sidna_Ali_Mosque
Mosque of Rome,https://en.wikipedia.org/wiki/Mosque_of_Rome
Mosque of Segrate,https://en.wikipedia.org/wiki/Mosque_of_Segrate
Kobe Mosque,https://en.wikipedia.org/wiki/Kobe_Mosque
King Hussein Mosque,https://en.wikipedia.org/wiki/King_Hussein_Mosque
King Abdullah I Mosque,https://en.wikipedia.org/wiki/King_Abdullah_I_Mosque
Hadum Mosque,https://en.wikipedia.org/wiki/Hadum_Mosque
Grand Mosque of Kuwait,https://en.wikipedia.org/wiki/Grand_Mosque_of_Kuwait
Imam Hussein Mosque,https://en.wikipedia.org/wiki/Imam_Hussein_Mosque
Mohammad Al-Amin Mosque,https://en.wikipedia.org/wiki/Mohammad_Al-Amin_Mosque
Zahir Mosque,https://en.wikipedia.org/wiki/Zahir_Mosque
Ubudiah Mosque,https://en.wikipedia.org/wiki/Ubudiah_Mosque
Jamek Mosque,https://en.wikipedia.org/wiki/Jamek_Mosque
National Mosque of Malaysia,https://en.wikipedia.org/wiki/National_Mosque_of_Malaysia
Federal Territory Mosque,https://en.wikipedia.org/wiki/Federal_Territory_Mosque
Sultan Salahuddin Abdul Aziz Mosque,https://en.wikipedia.org/wiki/Sultan_Salahuddin_Abdul_Aziz_Mosque
Putra Mosque,https://en.wikipedia.org/wiki/Putra_Mosque
Great Mosque of Djenné,https://en.wikipedia.org/wiki/Great_Mosque_of_Djenn%C3%A9
Djinguereber Mosque,https://en.wikipedia.org/wiki/Djinguereber_Mosque
Chinguetti Mosque,https://en.wikipedia.org/wiki/Chinguetti_Mosque
