Name,URL
Appleby College,https://en.wikipedia.org/wiki/Appleby_College
Brookes Shawnigan Lake,https://en.wikipedia.org/wiki/Brookes_Shawnigan_Lake#History
Bishops College School,https://en.wikipedia.org/wiki/Bishop%27s_College_School
Northern Alberta Institute of Technology,https://en.wikipedia.org/wiki/Northern_Alberta_Institute_of_Technology
Calgary French and International School,https://en.wikipedia.org/wiki/Calgary_French_and_International_School
Sedbergh School,https://en.wikipedia.org/wiki/Sedbergh_School
Stanstead College,https://en.wikipedia.org/wiki/Stanstead_College
Toronto French School,https://en.wikipedia.org/wiki/Toronto_French_School
York School (Toronto),https://en.wikipedia.org/wiki/York_School_(Toronto)
College international Marie de France,https://en.wikipedia.org/wiki/Coll%C3%A8ge_international_Marie_de_France
Columbia International College,https://en.wikipedia.org/wiki/Columbia_International_College
Pearson College UWC,https://en.wikipedia.org/wiki/Pearson_College_UWC
Malvern College Egypt,https://en.wikipedia.org/wiki/Malvern_College_Egypt
American International School in Egypt,https://en.wikipedia.org/wiki/American_International_School_in_Egypt
British International College of Cairo,https://en.wikipedia.org/wiki/British_International_College_of_Cairo
British International School in Cairo,https://en.wikipedia.org/wiki/British_International_School_in_Cairo
Cairo American College,https://en.wikipedia.org/wiki/Cairo_American_College
Cairo Japanese School,https://en.wikipedia.org/wiki/Cairo_Japanese_School
Deutsche Evangelische Oberschule,https://en.wikipedia.org/wiki/Deutsche_Evangelische_Oberschule
Deutsche Schule der Borromaerinnen Alexandria,https://en.wikipedia.org/wiki/Deutsche_Schule_der_Borrom%C3%A4erinnen_Alexandria
Deutsche Schule der Borromaerinnen Kairo,https://en.wikipedia.org/wiki/Deutsche_Schule_der_Borrom%C3%A4erinnen_Kairo
French School of Hurghada,https://en.wikipedia.org/wiki/French_School_of_Hurghada
German School Hurghada,https://en.wikipedia.org/wiki/German_School_Hurghada
The British School Alexandria,"https://en.wikipedia.org/wiki/The_British_School,_Alexandria"
"Schutz American School, Alexandria","https://en.wikipedia.org/wiki/Schutz_American_School,_Alexandria"
Port Said International School,https://en.wikipedia.org/wiki/Port_Said_International_School
Port Said American School,https://en.wikipedia.org/wiki/Port_Said_American_School
Pakistan International School of Cairo,https://en.wikipedia.org/wiki/Pakistan_International_School_of_Cairo
New Generation International Schools,https://en.wikipedia.org/wiki/New_Generation_International_Schools
New Cairo British International School,https://en.wikipedia.org/wiki/New_Cairo_British_International_School
Green Land International Schools,https://en.wikipedia.org/wiki/Green_Land_International_Schools
English School (Helsinki),https://en.wikipedia.org/wiki/English_School_(Helsinki)
Deutsche Schule Helsinki,https://en.wikipedia.org/wiki/Deutsche_Schule_Helsinki
International School of Helsinki,https://en.wikipedia.org/wiki/International_School_of_Helsinki
Turku International School,https://en.wikipedia.org/wiki/Turku_International_School
Ressu Comprehensive School,https://en.wikipedia.org/wiki/Ressu_Comprehensive_School
Oulu International School,https://en.wikipedia.org/wiki/Oulu_International_School
American School of Paris,https://en.wikipedia.org/wiki/American_School_of_Paris
Bordeaux International School,https://en.wikipedia.org/wiki/Bordeaux_International_School
British School of Paris,https://en.wikipedia.org/wiki/British_School_of_Paris
Chavagnes International College,https://en.wikipedia.org/wiki/Chavagnes_International_College
Cite Scolaire Internationale Europole,https://en.wikipedia.org/wiki/Cit%C3%A9_Scolaire_Internationale_Europole
International Bilingual School of Provence,https://en.wikipedia.org/wiki/International_Bilingual_School_of_Provence
International School of France,https://en.wikipedia.org/wiki/International_School_of_France
Notre-Dame International High School,https://en.wikipedia.org/wiki/Notre-Dame_International_High_School
Mougins School,https://en.wikipedia.org/wiki/Mougins_School
"Marymount International School, Paris","https://en.wikipedia.org/wiki/Marymount_International_School,_Paris"
16th arrondissement of Paris,https://en.wikipedia.org/wiki/16th_arrondissement_of_Paris#Education
International School of Toulouse,https://en.wikipedia.org/wiki/International_School_of_Toulouse
International School of Paris,https://en.wikipedia.org/wiki/International_School_of_Paris
International School Augsburg,https://en.wikipedia.org/wiki/International_School_Augsburg
Neustadt International School,https://en.wikipedia.org/wiki/Neustadt_International_School
International School of Bremen,https://en.wikipedia.org/wiki/International_School_of_Bremen
International School of Dusseldorf,https://en.wikipedia.org/wiki/International_School_of_D%C3%BCsseldorf
International School of Hamburg,https://en.wikipedia.org/wiki/International_School_of_Hamburg
International School of Stuttgart,https://en.wikipedia.org/wiki/International_School_of_Stuttgart
John F Kennedy School Berlin,"https://en.wikipedia.org/wiki/John_F._Kennedy_School,_Berlin"
Leipzig International School,https://en.wikipedia.org/wiki/Leipzig_International_School
Munich International School,https://en.wikipedia.org/wiki/Munich_International_School
Nelson Mandela School Berlin,"https://en.wikipedia.org/wiki/Nelson_Mandela_School,_Berlin"
St Georges The British International School,https://en.wikipedia.org/wiki/St._George%27s_The_British_International_School
Bavarian International School,https://en.wikipedia.org/wiki/Bavarian_International_School
Berlin British School,https://en.wikipedia.org/wiki/Berlin_British_School
Berlin Cosmopolitan School,https://en.wikipedia.org/wiki/Berlin_Cosmopolitan_School
Berlin Metropolitan School,https://en.wikipedia.org/wiki/Berlin_Metropolitan_School
Black Forest Academy,https://en.wikipedia.org/wiki/Black_Forest_Academy
Bonn International School,https://en.wikipedia.org/wiki/Bonn_International_School
Franconian International School,https://en.wikipedia.org/wiki/Franconian_International_School
Frankfurt International School,https://en.wikipedia.org/wiki/Frankfurt_International_School
Heidelberg International School,https://en.wikipedia.org/wiki/Heidelberg_International_School
Independent Bonn International School,https://en.wikipedia.org/wiki/Independent_Bonn_International_School
Rome International School,https://en.wikipedia.org/wiki/Rome_International_School
American Overseas School of Rome,https://en.wikipedia.org/wiki/American_Overseas_School_of_Rome
American School of Milan,https://en.wikipedia.org/wiki/American_School_of_Milan
Aviano American High School,https://en.wikipedia.org/wiki/Aviano_American_High_School
The British School of Milan,https://en.wikipedia.org/wiki/The_British_School_of_Milan
International School of Florence,https://en.wikipedia.org/wiki/International_School_of_Florence
International School in Genoa,https://en.wikipedia.org/wiki/International_School_in_Genoa
St Georges British International School,https://en.wikipedia.org/wiki/St._George%27s_British_International_School
Vicenza American High School,https://en.wikipedia.org/wiki/Vicenza_American_High_School
Naples American High School,https://en.wikipedia.org/wiki/Naples_American_High_School
Marymount International School of Rome,https://en.wikipedia.org/wiki/Marymount_International_School_of_Rome
International School of Milan,https://en.wikipedia.org/wiki/International_School_of_Milan
American Community School in Amman,https://en.wikipedia.org/wiki/American_Community_School_in_Amman
Amman Baccalaureate School,https://en.wikipedia.org/wiki/Amman_Baccalaureate_School
International Community School Amman,https://en.wikipedia.org/wiki/International_Community_School_Amman
Kings Academy,https://en.wikipedia.org/wiki/King%27s_Academy
Modern American School (Jordan),https://en.wikipedia.org/wiki/Modern_American_School_(Jordan)
Modern Montessori School,https://en.wikipedia.org/wiki/Modern_Montessori_School
New English School (Jordan),https://en.wikipedia.org/wiki/New_English_School_(Jordan)
Carmel School (Kuwait),https://en.wikipedia.org/wiki/Carmel_School_(Kuwait)
Dasman Model School,https://en.wikipedia.org/wiki/Dasman_Model_School
British School of Kuwait,https://en.wikipedia.org/wiki/British_School_of_Kuwait
Gulf Indian School,https://en.wikipedia.org/wiki/Gulf_Indian_School
New Kuwait Philippines International School,https://en.wikipedia.org/wiki/New_Kuwait_Philippines_International_School
New English School (Kuwait),https://en.wikipedia.org/wiki/New_English_School_(Kuwait)
International School of Kuantan,https://en.wikipedia.org/wiki/International_School_of_Kuantan
Tenby Schools Penang,https://en.wikipedia.org/wiki/Tenby_Schools_Penang
The International School of Penang (Uplands),https://en.wikipedia.org/wiki/The_International_School_of_Penang_(Uplands)
Lodge School (Malaysia),https://en.wikipedia.org/wiki/Lodge_School_(Malaysia)
Kristin School,https://en.wikipedia.org/wiki/Kristin_School
John McGlashan College,https://en.wikipedia.org/wiki/John_McGlashan_College
Auckland International College,https://en.wikipedia.org/wiki/Auckland_International_College
Annesley Junior School,https://en.wikipedia.org/wiki/Annesley_Junior_School
Blackwood High School,https://en.wikipedia.org/wiki/Blackwood_High_School
Canberra Girls Grammar School,https://en.wikipedia.org/wiki/Canberra_Girls_Grammar_School
Canberra Grammar School,https://en.wikipedia.org/wiki/Canberra_Grammar_School
Carey Baptist Grammar School,https://en.wikipedia.org/wiki/Carey_Baptist_Grammar_School
Concordia College (South Australia),https://en.wikipedia.org/wiki/Concordia_College_(South_Australia)
Fintona Girls School,https://en.wikipedia.org/wiki/Fintona_Girls%27_School
Friends School Hobart,"https://en.wikipedia.org/wiki/Friends%27_School,_Hobart"
Geelong Grammar School,https://en.wikipedia.org/wiki/Geelong_Grammar_School
Glenunga International High School,https://en.wikipedia.org/wiki/Glenunga_International_High_School
Haileybury (Melbourne),https://en.wikipedia.org/wiki/Haileybury_(Melbourne)
The Hills Grammar School,https://en.wikipedia.org/wiki/The_Hills_Grammar_School
"Immanuel College, Adelaide","https://en.wikipedia.org/wiki/Immanuel_College,_Adelaide"
Indooroopilly State High School,https://en.wikipedia.org/wiki/Indooroopilly_State_High_School
International School of Western Australia,https://en.wikipedia.org/wiki/International_School_of_Western_Australia
Ivanhoe Grammar School,https://en.wikipedia.org/wiki/Ivanhoe_Grammar_School
John Paul College (Brisbane),https://en.wikipedia.org/wiki/John_Paul_College_(Brisbane)
Kardinia International College,https://en.wikipedia.org/wiki/Kardinia_International_College
Kormilda College,https://en.wikipedia.org/wiki/Kormilda_College
Lauriston Girls School,https://en.wikipedia.org/wiki/Lauriston_Girls%27_School
Melba Copland Secondary School,https://en.wikipedia.org/wiki/Melba_Copland_Secondary_School
Mentone Girls Grammar School,https://en.wikipedia.org/wiki/Mentone_Girls%27_Grammar_School
Mercedes College (Adelaide),https://en.wikipedia.org/wiki/Mercedes_College_(Adelaide)
Methodist Ladies College Melbourne,"https://en.wikipedia.org/wiki/Methodist_Ladies%27_College,_Melbourne"
MLC School,https://en.wikipedia.org/wiki/MLC_School
Monte Sant Angelo Mercy College,https://en.wikipedia.org/wiki/Monte_Sant%27Angelo_Mercy_College
Mountain Creek State High School,https://en.wikipedia.org/wiki/Mountain_Creek_State_High_School
Mowbray College,https://en.wikipedia.org/wiki/Mowbray_College
Narrabundah College,https://en.wikipedia.org/wiki/Narrabundah_College
Newington College,https://en.wikipedia.org/wiki/Newington_College
Norwood Morialta High School,https://en.wikipedia.org/wiki/Norwood_Morialta_High_School
Pedare Christian College,https://en.wikipedia.org/wiki/Pedare_Christian_College
"Pembroke School, Adelaide","https://en.wikipedia.org/wiki/Pembroke_School,_Adelaide"
Presbyterian Ladies College Melbourne,"https://en.wikipedia.org/wiki/Presbyterian_Ladies%27_College,_Melbourne"
Presbyterian Ladies College Perth,"https://en.wikipedia.org/wiki/Presbyterian_Ladies%27_College,_Perth"
Preshil,https://en.wikipedia.org/wiki/Preshil
Prince Alfred College,https://en.wikipedia.org/wiki/Prince_Alfred_College
Queensland Academy for Creative Industries,https://en.wikipedia.org/wiki/Queensland_Academy_for_Creative_Industries
Queensland Academy for Health Sciences,https://en.wikipedia.org/wiki/Queensland_Academy_for_Health_Sciences
"Queensland Academy for Science, Mathematics and Technology","https://en.wikipedia.org/wiki/Queensland_Academy_for_Science,_Mathematics_and_Technology"
Queenwood School for Girls,https://en.wikipedia.org/wiki/Queenwood_School_for_Girls
Ravenswood School for Girls,https://en.wikipedia.org/wiki/Ravenswood_School_for_Girls
Sacred Heart College Geelong,"https://en.wikipedia.org/wiki/Sacred_Heart_College,_Geelong"
St Andrews Cathedral School,https://en.wikipedia.org/wiki/St_Andrew%27s_Cathedral_School
St Andrews School (Adelaide),https://en.wikipedia.org/wiki/St_Andrew%27s_School_(Adelaide)
St Brigids College,https://en.wikipedia.org/wiki/St_Brigid%27s_College
St Catherines School Toorak,"https://en.wikipedia.org/wiki/St_Catherine%27s_School,_Toorak"
St Hildas School,https://en.wikipedia.org/wiki/St_Hilda%27s_School
St Leonards College (Melbourne),https://en.wikipedia.org/wiki/St_Leonard%27s_College_(Melbourne)
St Pauls Grammar School,https://en.wikipedia.org/wiki/St_Paul%27s_Grammar_School
St Peters College Adelaide,"https://en.wikipedia.org/wiki/St_Peter%27s_College,_Adelaide"
St Peters Girls School,https://en.wikipedia.org/wiki/St_Peter%27s_Girls%27_School
St Peters Lutheran College,https://en.wikipedia.org/wiki/St_Peters_Lutheran_College
Salisbury High School (South Australia),https://en.wikipedia.org/wiki/Salisbury_High_School_(South_Australia)
Redlands Cremorne,"https://en.wikipedia.org/wiki/Redlands,_Cremorne"
Scotch College Perth,"https://en.wikipedia.org/wiki/Scotch_College,_Perth"
Somerset College,https://en.wikipedia.org/wiki/Somerset_College
Sophia Mundi Steiner School,https://en.wikipedia.org/wiki/Sophia_Mundi_Steiner_School
