Content,label
team contribution made rothstrsut acount tbxlokm please ivest today best akshay c patelbank america merrill lynch,Same-Day Contributions
good morning fyi journaled funds account listed amount per client request please invest asap thank fa,Same-Day Contributions
hello moved account please buy today fa,Same-Day Contributions
hello transferred account please trade soon possible today fa,Same-Day Contributions
please trade accounts today moved money account par,Same-Day Contributions
team made contribution via je afternoon please invest funds managed strategy today fa,Same-Day Contributions
good morning transferred account andrew alpha modi please trade manage strategy asap fa,Same-Day Contributions
may concern transferred account another cma please best trade today understand best efforts basis fa,Same-Day Contributions
moved brian joe account please trade today dash understand best effort basis fa,Same-Day Contributions
hello account debbie please invest clients contribution today possible fa,Same-Day Contributions
good morning transferred name cma would like request day trading please advise fa,Same-Day Contributions
moved account jeans today please trade today fa,Same-Day Contributions
moved larry account please trade today fa,Same-Day Contributions
transferring today good deposit traded fa,Same-Day Contributions
move account jess tiff please trade today fa,Same-Day Contributions
please see account treated today cash account fa,Same-Day Contributions
hello dash new cash deposits transferred accounts alfalfa alpha alpha please trade todayfa,Same-Day Contributions
hello intraday deposit made account today please expedite treating possible fa,Same-Day Contributions
good afternoon processed account dash please trade today possible fa,Same-Day Contributions
good morning pending mobile deposit customer made yesterday evening account sure traders need reflect trades could made today thought would bring attention fa,Same-Day Contributions
hello k transferred good trade asap fa,Same-Day Contributions
hi team move account afternoon please put account trading queue today fa,Same-Day Contributions
hello move dash would like funds invested today possible fa,Same-Day Contributions
team client requested exception trade added managed ira today account,Same-Day Contributions
good afternoon deposited account love us please begin investing funds trades execute fa,Same-Day Contributions
please trade new cash parentheses mr cashews account today fa,Same-Day Contributions
hello get moved account john doe automatically invested today,Same-Day Contributions
good morning ge account invest please confirm completed fa,Same-Day Contributions
team deposit 5 k made account today please make best efforts trade today happy holidays,Same-Day Contributions
hi transferred account dash please trade today possiblefa,Same-Day Contributions
deposited additional funds today following account account unds good trade today fa,Same-Day Contributions
good morning transferred account please manager rebound account contribution large portion account value,Same-Day Contributions
hello team account number ln behalf client account requesting transferred account invested asap please let us know possible,Same-Day Contributions
hello added following cash amounts three manage accounts please trade today q q q,Same-Day Contributions
morning sure notify deposited strategy dash linda john doe thanks,Same-Day Contributions
deposited additional funds today family account account 4 fent ip,Same-Day Contributions
moved dash today way manager invest today sent ip,Same-Day Contributions
teamplease aware transferred clients managed account lease trade accordingly sent ip,Same-Day Contributions
transferred client name cash ira managed ira client requesting day trade full appears dividend paid today dollar amount held back please manually trade request additional get total deposit ent ip,Same-Day Contributions
final dollar amount deposited intraday today please invest soon possibleaccount number ollar amount ent ip,Same-Day Contributions
please trade funds deposited today asap sent ipad,Same-Day Contributions
team moved account please alert yourtraders invest today best akshay c patel,Same-Day Contributions
team moved mr joe brokerage lcv strategy pleasetrade funds today possible best akshay c patel,Same-Day Contributions
team journaled account trading today please trade confirm traded research lcv strategy best akshay c patel,Same-Day Contributions
deposited additional funds today family account account 4 fent ip,Same-Day Contributions
requesting invest account today funds journaled morning good funds account please advise able investsent ip,Same-Day Contributions
team went account today please trade today possible sent ipad,Same-Day Contributions
account eposit amount lease buy today fa,Same-Day Contributions
moved account please trade asap fa,Same-Day Contributions
maa journaled cash follows please trade account asap confirm back us account,Same-Day Contributions
hi added account today please trade account today thank best akshay pat,Same-Day Contributions
moved account possible invest today thank youamitybest akshay patel,Same-Day Contributions
moved account possible invest today thank youamitvbest akshay patel,Same-Day Contributions
deposit made teresa graw please trade today please confirmbest akshay pat,Same-Day Contributions
deposit made nancy zunino please trade today please confirm thanks jackbest akshay pat,Same-Day Contributions
client transferred brokerage account like invested soon asplease confirm traded best akshay pat,Same-Day Contributions
hello team hope finds well nice thanksgiving moved account 2 v minutes ago acct please trade soon possible best akshay pat,Same-Day Contributions
goo morning client made deposit mgia cma asking best effort get traded todaythank best akshay pat,Same-Day Contributions
deposit made teresa graw please trade today please confirm thanks jackbest akshay pat,Same-Day Contributions
please invest asapbest akshay patel,Same-Day Contributions
money moved acct pls trade todayz est akshay patel,Same-Day Contributions
submitted intraday deposit request armellini account u work order cliendeposited another total intraday deposit please trade full soon possible thank chrisbest akshay pat,Same-Day Contributions
submitted intraday deposit request armellini account u work order client deposited another total intraday deposit please trade full soon possible thank youbest akshay pat,Same-Day Contributions
hi please invest untraded cash thanks sambest akshay patel,Same-Day Contributions
name philip joseph please invest current cio portfolio depositing today via je best akshay pat,Same-Day Contributions
hello please invest intradav deposit v best akshay patel,Same-Day Contributions
large deposit made account funds good trading please let know questions best akshay pat,Same-Day Contributions
hope well client anh dung would like recently deposited funds account traded today possible please let us know assistance would happy help thank best alexbest akshay pat,Same-Day Contributions
accounts v cash v cashbest akshay patel,Same-Day Contributions
deposit transferred richard christy craig account please trade morning possible thank youbest akshay pat,Same-Day Contributions
deposit transferred richard christy craig account please trade morning possible thank best akshay pat,Same-Day Contributions
following clients moved cash following accounts morning please trade asap thank hsiung dangbest akshay pat,Same-Day Contributions
please trade mirheydar today confirm transferred via je today thank best akshay pat,Same-Day Contributions
tearn client made large deposit account please trade accordingly soon possiblebest akshay patel,Same-Day Contributions
moved trying traded today reflecting intraday trading screen even though seeit moved able trade full portion richard orlando est akshay pat,Same-Day Contributions
please trade confirming tax loss selling accounts best akshay pat,Same-Day Contributions
moved funds account trade mess tax loss selling took place want void wash rule best akshay pat,Same-Day Contributions
transferred account peggy bernstein campbell newman portfolio funds ready immediate investment best akshay pat,Same-Day Contributions
please aware additional deposit made account want remind sold losses past couple days sure compliant tax loss wash rule best akshay pat,Same-Day Contributions
deposited account earlier today please let know expect funds invested today thank best akshay pat,Same-Day Contributions
deposited account earlier today please let know expect funds invested today thank youbest akshay pat,Same-Day Contributions
hello submitted intraday deposit account however reason system would allow full instead please make sure invest full best akshay pat,Same-Day Contributions
per client request today please trade today understand best effort best akshay patel,Same-Day Contributions
would like please request investment recent deposited following account todaybest akshay pat,Same-Day Contributions
recently je cash ira name managed ira requesting intraday deposit system allows 4 requested due pending fee client intendeds invest today please invest details please let us know additional information neededbest akshay pat,Same-Day Contributions
hello guys fyi je ed account client requested immediate investment allocation possiblethanks help great daybest akshay pat,Same-Day Contributions
esearch income growth esearch income esearch mid cap esearch small cap esearch internationalthe j e funds came name account approved new service gatewayjam aware thatlcan notify deposits control panel however interest time wanted get younow please let know need add individually control panel thanks lotbest akshay pat,Same-Day Contributions
deposited acct today showing bma tried enter intraday deposit showing control panel client would like invested today please advise completed best akshay pat,Same-Day Contributions
please advised journaled kathy howington managed ira thefund good tradethanksbest akshay pat,Same-Day Contributions
7 7 note account intraday screen shows less 7 entered cash available want knowwe fact deposit 7 sure makes difference since amount minor screen prints wanted know best akshay pat,Same-Day Contributions
advised enter intraday deposit available amount showing controlpanel ould like full invested please advise remaining amount invested today best akshay pat,Same-Day Contributions
pamela gruver adams assigned following new task subject kathy smith pls ask maa invest cash asap thankscontact edmund smithclient prospect edmund smithpriority normalbest akshay patel,Same-Day Contributions
maa dient cliff doner one ml one account adding money accounts todaynow set recognize deposit funds real time goes manager investment today cutoff time happen best akshay pat,Same-Day Contributions
fyiwe moved account yest akshay patel,Same-Day Contributions
hello guys fyi je ed account client requested immediateinvestment allocation possible best akshay c patel,Same-Day Contributions
hi journaled accounts warren funds goodto trade best akshay c patel,Same-Day Contributions
helloviust journaled accountfor janna warren funds good tradethanksbest akshay pat,Same-Day Contributions
maathe je good trade thank vou best akshay patel,Same-Day Contributions
please invest account best akshay c patel,Same-Day Contributions
another deposited today please invest funds today best akshay pat,Same-Day Contributions
client deposited 3 yesterday edge arrived yesterday settled today within account deposits showing intraday deposits best akshay pat,Same-Day Contributions
maa please invest deposited today account best akshay c patel,Same-Day Contributions
please trade deposit made today account est akshay c patel,Same-Day Contributions
maa please invest intraday deposit made account oday best akshay c patel,Same-Day Contributions
hi deposited account please make best efforts totrade today best akshay c patel,Same-Day Contributions
good morning still fractional positionsin please advise thesewill liquidated best akshay patel,Terminations
would able confirm prop funds us want make sure funds would sold uponmoving stm prsn thanks best akshay pat,Terminations
submitted term keep accounts enrolling trusteedira please sell proprietary funds please confirm best akshay patel,Terminations
hi term liquidated account however thereseems 1 security left leaving themanagement account get eta onwhen close looks like decentdaily trade volume position thanksbest akshay patel,Terminations
account nquiry requested term keep fouraccounts today 6 give time framewhen would able move assets mallocating new merrill accounts thanks best akshay patel,Terminations
nancy meachumplease expedite termination sellrequest system client nervous market andneeds get market quickly aspossible best akshay patel,Terminations
may concern please explain pending andwhen trade client looking purchase acondo thank helpstefanobest akshay patel,Terminations
submitted termination deceased accountfor charles lum enrolled custom managed portfolio morning stillshowing pending need make sure additionaltrading done account please advise best akshay patel,Terminations
client request please terminate sell asathe client understands full liquidation willcause fall minimum asset level best akshay patel,Terminations
please approve pending strategy change ml one forw mike mcdonald cstm prsn thatwe submit trades via pcoe afternoon asconfirmed maa msn work order ia best akshay patel,Terminations
