Content,label
"Good morning - there are still some fractional positionsin 582-05S06 and 582-05S08. Please advise when thesewill be liquidated.Best,Akshay Patel",Terminations
"Would you be able to confirm the no prop funds in 455677 for us. Just want to make sure no funds would be sold uponmoving from STM to PRSN.Thanks!Best,Akshay Pat",Terminations
"I submitted a TERM/KEEP on accounts 278-12412 and278-15030. We will be re-enrolling in TrusteedIRA. Please do NOT sell any proprietary funds.Please confirm.Best,Akshay Patel",Terminations
"Hi,We term and liquidated this account, however thereseems to be 1 security left which is leaving themanagement on the account. Can we get an ETA onwhen this will close out? It looks like there is decentdaily trade volume on the position.ThanksBest,Akshay Patel",Terminations
"Account #: 57602456, 57602457, 57602455, 57602458Inquiry: I requested a term and keep for these fouraccounts today 12/6/21. Can you give me a time framewhen I would be able to move out these assets? I'mallocating them to new Merrill accounts. Thanks!Best,Akshay Patel",Terminations
"Re: 504-31515 Nancy MeachumPlease expedite the termination and sellrequest in the system.Client is very nervous about the market, andneeds to get out of the market as quickly aspossible.Best,Akshay Patel",Terminations
"To whom it may concern,Can you please explain why this is pending andwhen will it trade. Client is looking to purchase acondo.Thank you for your helpStefanoBest,Akshay Patel",Terminations
"We submitted the termination for a deceased accountfor Charles Lum who was enrolled in a custom-managed portfolio 626-18690, this morning. It is stillshowing as pending.We need to make sure there is not any additionaltrading done in this account. Please advise.Best,Akshay Patel",Terminations
"By client request, please terminate and sell all ASAThe client understands that the full liquidation willcause them to fall below the minimum asset level.Best,Akshay Patel",Terminations
"Please approve pending strategy change in ML One for5LW10875 Mike McDonald from CSTM to PRSN so thatwe can submit trades via PCOE this afternoon asconfirmed with MAA MSN (Work Order S16334889 IA25992466).Best,Akshay Patel",Terminations
"Hi,PS was updated for PRSN, but I cannot get tradesthrough. Please allow FGA trading.Best,Akshay Patel",Terminations
"Good afternoon,Morgan Vicknair submitted termination request for thisaccount on 11/16. I see the sales of the securities, butthe MNGD trait is also still reflected on this account.Reaching out to confirm that this request is in order andto inquire on the status of termination?Thank you,Best,Akshay Patel",Terminations
"Hi all,I just sent her determines our request for account 46t838 please execute sales todayFA",Terminations
Can someone please approve this termination ASAP?FA,Terminations
Hi entered term/sell for XYZ. FA Would like this to be sold and in cash by Thursday. Can you confirm?FA,Terminations
Good afternoonPlease advise on the timeline of selling associated with term and partial request for account XYZ.FA,Terminations
Good morningGermany and sell request was submitted for why is he on 1129. Please provide a timeline for selling the position as funds are required for another investment.FA,Terminations
"A terminate and sell request for IRRA 852-14161(Skidmore) was submitted on 11/29/21. As of 12/15/21,one bond remains unsold.Please provide a timeframe for selling the position asfunds are required for another investment. Thank you.BenjaminBest,Akshay Patel",Terminations
"Good Afternoon,I have submitted a term & sell request for I7DK21040. Will you please made sure this getsccomplished asap per the clients request.Best,Akshay Patel",Terminations
"Good afternoon,I just submitted two terminations for 7DK-17844 & 7DK-17845 can you please confirm they were submitted asterm & KEEP?Best,Akshay Patel",Terminations
"Hi,I put a term & sell on this account 12/7/21, and I seethat it's still pending. Most of the acct was sold on12/7/21, but there are still three securities. The clientrequested that I send an email to make sure those aresold.Best,Akshay Patel",Terminations
"Good morning,What do I need to do to terminate and sell all of theNuveen manager in 587-22951?Thank you,Best,Akshay Patel",Terminations
"Hi Maa,Can you expedite Term and Liquidate on53M-33015 - Funds needed for year-endgifting by the client.Thanks very much.Account is Grace Crevello EV Tabs. 53M-33015Best,Akshay Patel",Terminations
"I have submitted a work order to change a CSTMMNGD account to a PIA account. 847-15970. This hasbeen approved by branch and now pending MAA. Weneed to make several trades in the account today,could I please ask for approval?Best,Akshay Patel",Terminations
"Good afternoon,I placed Termination on this managed strategy lastFriday 12/3. Wondering why this has not been tradedyet and when this will be resolved?Thank you,Best,Akshay Patel",Terminations
"Hello,A manager termination was submitted on 10/29 for582-72186. The account is still showing as pendingtermination.Can I get some assistance in getting the mangerterminated please?Thank you,Best,Akshay Patel",Terminations
"Good Morning,I terminated the IAP on 84A48652 and am planning to JEthe funds/securities to 84A55738 and re-enroll in thesame strategy. Please confirm it is terminated and OKto process JE.Thank you!Best,Akshay Patel",Terminations
"Account #: 594-30943Inquiry: Account was frozen, then term & keep requestwas submitted. Please do not sell proprietary funds inthis account as we are consolidating into custommanaged strategy with the same manager. Thank you.Best,Akshay Patel",Terminations
"Good afternoon,These two accounts are currently enrolled into PARAMTRCTABS MUNILD1-14BBB-MIN strategy. The clients will beterminating these accounts. Their intention is to take 1/3from each account and transfer assets to 695-53077, 695-53205 and 695-53209. These three accounts will then beenrolled into the same PARAMTRC TABS MUNILD1-14BBB-MIN strategy. Can the manager advise 1/3 split suggestionsfor 695-44229 and 695-44387? Please let me know if youhave any questions.Thank you,Best,Akshay Patel",Terminations
"Good Afternoon-FA Gary Moulsdale submitted a liquidation request for7LW-10617 back on 11/10/2021. It has just come toGary's attention that the request was not processed.Are you able to determine whether or not the requestwas fully submitted and/or why the account was notliquidated at that time?Thanks,JoeBest,Akshay Patel",Terminations
"Hello,Can you please review this termination request andprovide an update as I don't see any sales.Thank you!Best,Akshay Patel",Terminations
"Hello,We entered termination request for client above on12/03/2021. WO #: S16418694 / A26114133I wanted to check on the status? FA tried to enrollanother account for this client but it is locked.Best,Akshay Patel",Terminations
"Please be advised that the account, 70Q74033, hasbeen frozen as the attached list of securities will bewithdrawn. Please maintain this freeze through12/31/2020 so it is released on 01/01/2021.Best,Akshay Patel",Terminations
"Good afternoon- can you please advise on the status ofselling the last municipal bond in account 7PW-11809?We submitted the term and sell request a couple ofweeks ago. Thank you!Best,Akshay Patel",Terminations
"Account #: 101-05087 East Accounting LLCInquiry: How long would it take to sell/settle thisentire account? FA is asking because he wasn't sureabout longer settlement times for bonds.Is there a time of day deadline that we need toenter a term/sell?Best,Akshay Patel",Terminations
"Requested Termination on 12-15. How long for the traitto be removed? Do we have to wait until all bonds aresold?Trying to do a Al Enrollment and being blocked becauseor management trait.Best,Akshay Patel",Terminations
"Account #: 531-02106Inquiry: Just a note... understand that muni liquidationscan sometimes take a bit longer than equity accounts.Is there a way to make sure this process is expeditedfor this account? This is a time sensitive transaction fothe client. Thank you for all that you do!Best,Akshay Patel",Terminations
"Can someone please let me know when the strategychange for the below account will be fully approved?Best,Akshay Patel",Terminations
"We have a client that needs to liquidate 11 equityholdings and 4 muni holdings, we were advised that weshould terminate the account and then place the tradeswithin 15 days of account termination which would notcharge the client any commissions. Is there a way wecould have requested everything be sold duringtermination?Best,Akshay Patel",Terminations
"Please approve and release the switch from CustomManaged to PIA/Personalized so we can get sometrades on our side today.Best,Akshay Patel",Terminations
"If possible can we please execute the two terminationsentered in the system ASAP TODAY?Best,Akshay Patel",Terminations
"I am terminating and keeping this account and movingthe bonds to 787-13132 which is AB NY strategy. Pleaseadvise of any issues.Best,Akshay Patel",Terminations
"For account number 7RF-81054 (Frank Ellison IRA), weplaced a termination and liquidate order yesterday. Wesee that the equities have been sold. Would youplease tell us the timeframe for the liquidation of thebonds?Best,Akshay Patel",Terminations
"The above acct was changed from CSTM toPA and has to be traded ASAP. The KDIscreen still shows Firm Discretion - If possible,please expedite the update to No Discretion(ND) as soon as possible so we can trade theaccount.Thanks a lot for your help.Best,Akshay Patel",Terminations
"Team,   Entered a termination in error in the above account. Can you please review?Best,Akshay Pat",Terminations
"We just entered a termination and full liquidation onthe referenced account. It is extremely important thatthe holdings are sold today. Are you able to confirmthat this is able to be done?Best,Akshay Patel",Terminations
"Please process the termination request for 542-49966n/o Binyon.Best,Akshay Patel",Terminations
"Account 859-21847 was terminated on 5/17/21. Canyou please advise whether this was entered as a termand sell or a term and keep?Best,Akshay Patel",Terminations
"Hi Team,We terminated account 490378 from IAP and it still shows the pending trait.Please advise on the status of the termination.Best,Akshay C. Patel",Terminations
"Hi MAA,Please note, we have terminated the above account this morning frommanagement and will be moving assets over to a new same name cma account.Please do not make any trades.Best,Akshay C. Patel",Terminations
"Team,      A contribution of $900k has been just made to the rothstrsut acount tbxlokm909. please ivest today.Best,Akshay C. PatelBank of America Merrill Lynch",Same-Day Contributions
"Good morning,FYI. We have journaled funds into the account listed above in the amount of $50,000, per client request please invest ASAP. Thank you.FA",Same-Day Contributions
"Hello,We just moved $100,000 to the account above.Please buy today.FA",Same-Day Contributions
"Hello,I have just transferred $50,000 into the above account. Can you please trade the $50,000 as soon as possible today?FA",Same-Day Contributions
"Please trade the below accounts today as we moved money into the account;656–00004 par; $25,000656–00005; $25,000FA",Same-Day Contributions
"Team,We made a $10,000 contribution via JE this afternoon. Can you please invest these funds into the managed strategy today.FA",Same-Day Contributions
"Good morning,We just transferred $25,000 to account 69549565 Andrew Alpha Modi. Please trade into the manage strategy ASAP.FA",Same-Day Contributions
"To whom it may concern,I’ve just transferred $30,000 into this account from another CMA. Please do best to trade today. I understand it’s on a best efforts basis.FA",Same-Day Contributions
"I moved $25,000 into Brian and Joe’s account. Please trade today Dash understand this is best effort basis.FA",Same-Day Contributions
"Hello,Account 56483904 Debbie, please invest the clients contribution of $10,000 today if possible.FA",Same-Day Contributions
"Good morning,I just transferred $100,000 into 57624417 from his same name CMA we would like to request same day trading please advise.FA",Same-Day Contributions
Moved $6000 into this account for jeans today. Please trade today!FA,Same-Day Contributions
"Moved $30,000 into Larry’s account – please trade today.FA",Same-Day Contributions
"$10,000 is transferring 263111111 today than that is good deposit. It can be Traded.FA",Same-Day Contributions
"Move $10,000 into this account for Jess and tiff – can you please trade TODAY.FA",Same-Day Contributions
"Please see the account that should be treated today, cash is in the account.FA",Same-Day Contributions
Hello Dash new cash deposits have transferred into accounts 00 alfalfa 00 and 00 alpha alpha 00. Please trade todayFA,Same-Day Contributions
"Hello,Intraday deposit $500,000 made into account 111-11111 today. Please expedite treating if possible.FA",Same-Day Contributions
"Good afternoon,$750,000 have been processed into account 700 Dash 00000. Please trade today if possible.FA",Same-Day Contributions
"Good morning,There is a pending mobile deposit the customer made yesterday evening into the account and I was not sure if traders need this to reflect or if trades could be made today but I thought I would bring this to your attention.FA",Same-Day Contributions
"Hello,100 K just transferred in this is good to trade ASAP.FA",Same-Day Contributions
"Hi team,I move $25,000 into the Above account this afternoon can you please put that account into the trading queue today?FA",Same-Day Contributions
"Hello,We just move $25,000 into 111 Dash 11111 and we would like the funds to be invested today if possible.FA",Same-Day Contributions
"Team,Client requested exception to trade the $65,000 added to her managed IRA today in account 82Y110000FA",Same-Day Contributions
"Good afternoon,Deposited $10,000 into account above love us. Please begin investing funds in there for me when trades execute.FA",Same-Day Contributions
"Please trade new cash parentheses $420,000 in Mr. cashews account today.FA",Same-Day Contributions
"Hello,I didn’t get it$50,000 was just moved into account for John Doe. Will this be automatically invested today?",Same-Day Contributions
"Good morning,Just a GE $15,000 into account 831909090 to invest.Please confirm when completed.FA",Same-Day Contributions
"Team,A deposit of 12.5 K was made into account 123-4009 today. Please make best efforts to trade today.Happy holidays.",Same-Day Contributions
"Hi,I transferred $43,253 into account 11111 Dash please trade today if possibleFA",Same-Day Contributions
We just deposited additional funds today into the following account;$1000 to account 0909099Funds are good to trade today.FA,Same-Day Contributions
"Good morning,We just transferred $100,000 into account 020–2641100.Can you please have the manager rebound the account has the contribution is a large portion of the account value??",Same-Day Contributions
"Hello team,Account number 6CL111110On behalf of the above client account we are requesting $1500 that was transferred into the above account be invested ASAP. Please let us know if this is possible.",Same-Day Contributions
"Hello,I have added the following cash amounts to three manage accounts below, please trade today;Q123456 , $125kQ234567,  $100kQ345678, $100k",Same-Day Contributions
"Morning,Not sure if we should notify you, but we just deposited $10,000 into the strategy in 111 Dash 11111 for Linda John Doe thanks!",Same-Day Contributions
"We just deposited additional funds today into the family account$25,000 to account 11233–4 F55Sent from my iP",Same-Day Contributions
