               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09954,            0.039887,              0.0488,                   0,                   0,                   0,                   0,             0.09198,            0.037321,            0.045403,              0.0919,              0.0009,              0.0009
                   1,             0.10899,            0.052091,            0.055432,                   0,                   0,                   0,                   0,            0.085677,             0.05204,            0.044083,            0.082881,           0.0018812,           0.0018812
                   2,            0.091906,            0.057764,            0.046024,                   0,                   0,                   0,                   0,             0.08267,            0.051497,            0.043358,            0.073843,           0.0028426,           0.0028426
                   3,             0.08744,            0.057058,            0.044258,          0.00051814,           0.0075132,          0.00028634,          4.3437e-05,            0.079098,            0.048777,            0.042397,            0.064784,           0.0037842,           0.0037842
                   4,            0.083542,            0.051846,            0.043951,             0.10708,            0.097448,           0.0051281,           0.0010061,            0.077114,            0.039075,            0.042572,            0.055706,            0.004706,            0.004706
                   5,            0.083643,            0.043835,            0.043629,           0.0061491,             0.12537,           0.0059345,           0.0013082,            0.077233,            0.040049,            0.041809,            0.046608,           0.0056079,           0.0056079
                   6,            0.080875,            0.044524,            0.042561,             0.40569,            0.051548,           0.0054028,           0.0010765,            0.088853,            0.041303,            0.040962,             0.03749,           0.0064901,           0.0064901
                   7,            0.096322,            0.038459,            0.042617,           0.0030534,            0.068438,           0.0021659,          0.00049131,            0.082408,             0.03754,            0.039413,            0.028353,           0.0073525,           0.0073525
                   8,            0.080766,            0.042339,            0.039158,                   0,                   0,                   0,                   0,             0.08044,            0.053174,            0.039139,            0.019195,           0.0081951,           0.0081951
                   9,            0.084259,            0.040021,            0.043549,            0.004787,            0.079087,           0.0046374,            0.000678,            0.080084,            0.029824,            0.038765,            0.010018,           0.0090179,           0.0090179
                  10,            0.083022,            0.032052,            0.040444,                   0,                   0,                   0,                   0,            0.077073,            0.042919,             0.03849,             0.00901,             0.00901,             0.00901
                  11,            0.087029,            0.036064,            0.042088,           0.0031895,            0.036845,           0.0021539,          0.00029067,            0.076616,            0.034641,            0.038223,             0.00901,             0.00901,             0.00901
                  12,            0.087723,            0.030722,            0.045393,           0.0094671,             0.18942,           0.0086647,            0.001799,            0.076992,            0.030257,             0.03846,            0.008911,            0.008911,            0.008911
                  13,            0.086614,            0.032492,             0.04443,              0.1094,            0.093203,           0.0086927,           0.0013531,            0.073502,            0.034077,            0.038277,            0.008812,            0.008812,            0.008812
                  14,            0.070792,            0.037192,            0.038501,             0.30129,            0.013355,          0.00064199,          7.9384e-05,            0.077538,            0.055528,            0.038223,            0.008713,            0.008713,            0.008713
                  15,            0.083254,            0.041603,            0.043759,            0.014757,             0.29369,            0.017294,           0.0029805,            0.063562,             0.03748,            0.037613,            0.008614,            0.008614,            0.008614
                  16,            0.074832,            0.045768,            0.041713,            0.010137,             0.16564,            0.010329,           0.0015983,            0.069272,            0.048598,            0.037781,            0.008515,            0.008515,            0.008515
                  17,            0.075202,            0.041537,            0.041744,            0.025885,             0.42569,            0.038278,           0.0091739,             0.06141,            0.039944,            0.037498,            0.008416,            0.008416,            0.008416
                  18,            0.069336,            0.040525,            0.038667,            0.042164,             0.39532,            0.057478,            0.017452,            0.060068,            0.038713,            0.037498,            0.008317,            0.008317,            0.008317
                  19,            0.085232,            0.038316,            0.046044,             0.11381,             0.19904,            0.014269,           0.0030858,            0.066857,            0.039974,            0.037338,            0.008218,            0.008218,            0.008218
                  20,            0.070158,            0.042558,            0.041604,            0.026823,             0.43661,             0.04139,            0.010074,            0.062693,            0.040618,            0.037315,            0.008119,            0.008119,            0.008119
                  21,            0.064454,            0.042165,            0.040746,             0.13746,             0.56416,            0.073508,            0.024858,             0.06062,            0.039856,            0.037285,             0.00802,             0.00802,             0.00802
                  22,            0.064412,            0.040874,            0.041843,            0.038536,             0.65986,            0.086069,            0.031545,             0.05065,            0.036797,            0.037285,            0.007921,            0.007921,            0.007921
                  23,            0.061279,            0.042959,            0.040871,             0.12779,             0.46176,            0.040714,            0.008396,            0.056763,            0.042889,            0.037285,            0.007822,            0.007822,            0.007822
                  24,            0.068035,            0.045741,            0.043059,             0.15461,             0.41191,            0.094911,            0.027754,            0.049316,            0.037311,            0.037209,            0.007723,            0.007723,            0.007723
                  25,            0.070784,            0.041446,            0.044427,             0.15371,             0.49195,            0.090012,            0.031359,            0.057882,            0.037634,            0.037247,            0.007624,            0.007624,            0.007624
                  26,            0.065363,            0.041905,            0.042738,             0.13334,             0.50567,            0.066664,            0.024281,            0.057437,            0.038633,            0.037064,            0.007525,            0.007525,            0.007525
                  27,            0.061473,            0.044546,            0.040239,             0.17103,             0.40249,             0.09766,            0.031302,            0.046032,            0.037933,            0.037239,            0.007426,            0.007426,            0.007426
                  28,            0.059043,            0.040691,            0.041551,            0.044275,             0.51033,            0.089442,            0.027414,            0.052606,            0.035341,            0.037109,            0.007327,            0.007327,            0.007327
                  29,            0.054109,            0.039443,            0.038916,            0.062006,             0.40433,            0.092208,            0.029591,             0.04734,            0.039747,            0.037292,            0.007228,            0.007228,            0.007228
                  30,            0.052388,            0.039193,            0.039255,            0.061125,              0.5191,               0.114,            0.042298,            0.057177,            0.034112,            0.037086,            0.007129,            0.007129,            0.007129
                  31,            0.062307,            0.037075,            0.039304,             0.16393,              0.3984,            0.092357,            0.029917,            0.051243,            0.035517,            0.037109,             0.00703,             0.00703,             0.00703
                  32,            0.056705,            0.044272,            0.040322,            0.059276,             0.58022,             0.11529,            0.040096,            0.046165,            0.035728,            0.037155,            0.006931,            0.006931,            0.006931
                  33,            0.053461,            0.038649,            0.037259,            0.069887,             0.51479,             0.12428,            0.039364,            0.046279,            0.034909,            0.037117,            0.006832,            0.006832,            0.006832
                  34,            0.058141,            0.039752,            0.041348,            0.082317,             0.44616,             0.12136,            0.042309,            0.046689,            0.035918,            0.037277,            0.006733,            0.006733,            0.006733
                  35,            0.053397,            0.036541,            0.039244,            0.045261,             0.55554,            0.094495,            0.030848,            0.050809,            0.039321,            0.037132,            0.006634,            0.006634,            0.006634
                  36,            0.062685,            0.042932,            0.040997,            0.085476,             0.48653,             0.14082,             0.06418,            0.049536,            0.033636,            0.037033,            0.006535,            0.006535,            0.006535
                  37,            0.066443,            0.036383,            0.043529,            0.094305,             0.54792,             0.15141,            0.073792,             0.04015,            0.033323,            0.037086,            0.006436,            0.006436,            0.006436
                  38,            0.052815,            0.039999,            0.040856,            0.081576,             0.54107,             0.15332,            0.068696,            0.049165,            0.032757,            0.036964,            0.006337,            0.006337,            0.006337
                  39,             0.06289,            0.036232,            0.043436,             0.07636,             0.42114,             0.13073,            0.054186,             0.05131,             0.03476,            0.037064,            0.006238,            0.006238,            0.006238
                  40,            0.055187,            0.037412,            0.040749,             0.09685,             0.47655,             0.15218,            0.066503,            0.046563,            0.032702,            0.037064,            0.006139,            0.006139,            0.006139
                  41,            0.053748,            0.043566,            0.040371,            0.086074,             0.47343,             0.14705,            0.068305,            0.040246,            0.033354,            0.037025,             0.00604,             0.00604,             0.00604
                  42,             0.04625,            0.039762,            0.039295,            0.079099,              0.4985,             0.15493,            0.069785,            0.042653,            0.032421,            0.036934,            0.005941,            0.005941,            0.005941
                  43,            0.046847,            0.037067,            0.037921,            0.096209,             0.54087,             0.15311,             0.06312,            0.042065,            0.032927,            0.037056,            0.005842,            0.005842,            0.005842
                  44,            0.054458,            0.038438,            0.042087,            0.066949,             0.42334,             0.13451,            0.048641,            0.044888,            0.034746,            0.036957,            0.005743,            0.005743,            0.005743
                  45,            0.049157,            0.037841,            0.038214,            0.082126,             0.48067,             0.15815,            0.076187,            0.039612,            0.032599,            0.036934,            0.005644,            0.005644,            0.005644
                  46,            0.050604,            0.035225,            0.042832,            0.078886,             0.45505,             0.15016,            0.070973,            0.039578,            0.032688,            0.036903,            0.005545,            0.005545,            0.005545
                  47,            0.051915,            0.038771,            0.039934,            0.084372,             0.47498,             0.14756,            0.071691,            0.039715,            0.032971,            0.036903,            0.005446,            0.005446,            0.005446
                  48,             0.04927,            0.039597,            0.040068,            0.082812,             0.44496,             0.14708,            0.073921,            0.040315,            0.032555,             0.03685,            0.005347,            0.005347,            0.005347
                  49,            0.051912,            0.037506,            0.041589,             0.10062,             0.54519,             0.16539,            0.089997,            0.036357,            0.031334,            0.036858,            0.005248,            0.005248,            0.005248
                  50,            0.053927,            0.036262,            0.044262,            0.098782,             0.47964,             0.16373,            0.082751,            0.038043,             0.03244,            0.036797,            0.005149,            0.005149,            0.005149
                  51,            0.050842,            0.037656,            0.042644,            0.092893,             0.51501,             0.16623,             0.08338,            0.038269,            0.031731,            0.036766,             0.00505,             0.00505,             0.00505
                  52,            0.046043,            0.033258,            0.037914,             0.10211,             0.55665,             0.15744,             0.07726,            0.040217,            0.031726,            0.036835,            0.004951,            0.004951,            0.004951
                  53,            0.044822,            0.037134,            0.038759,            0.092817,             0.50547,             0.16518,            0.063765,            0.043568,            0.033013,            0.036728,            0.004852,            0.004852,            0.004852
                  54,             0.04657,            0.036414,            0.038629,            0.097773,             0.52708,             0.16711,             0.07984,            0.039757,            0.031897,            0.036774,            0.004753,            0.004753,            0.004753
                  55,            0.058573,            0.036798,            0.044102,             0.10282,             0.64537,              0.1672,            0.086267,            0.036098,            0.030783,            0.036774,            0.004654,            0.004654,            0.004654
                  56,            0.042619,            0.034602,            0.038209,            0.090901,             0.53793,             0.14809,            0.047326,             0.04197,            0.033526,             0.03672,            0.004555,            0.004555,            0.004555
                  57,            0.050633,            0.036836,            0.043223,            0.093753,             0.64034,             0.15414,            0.079943,            0.037004,            0.031199,            0.036766,            0.004456,            0.004456,            0.004456
                  58,            0.042213,            0.032785,            0.038485,            0.096125,             0.64883,             0.15646,            0.086191,             0.03596,            0.030436,            0.036758,            0.004357,            0.004357,            0.004357
                  59,            0.042973,            0.032918,            0.038305,            0.093564,             0.64784,             0.16021,            0.090429,              0.0384,            0.030627,            0.036682,            0.004258,            0.004258,            0.004258
                  60,            0.047881,            0.034933,            0.042996,             0.09586,             0.62665,             0.15532,            0.087514,            0.035425,            0.030535,            0.036697,            0.004159,            0.004159,            0.004159
                  61,             0.04877,            0.034824,            0.041258,             0.09791,             0.63543,             0.16159,            0.091178,            0.036684,            0.030093,             0.03672,             0.00406,             0.00406,             0.00406
                  62,            0.050244,            0.037456,            0.040388,             0.10001,             0.62219,             0.16257,            0.086636,            0.037104,            0.030585,            0.036652,            0.003961,            0.003961,            0.003961
                  63,            0.050826,            0.036941,            0.042336,             0.10776,             0.61866,             0.16701,            0.094504,            0.034506,            0.030009,            0.036674,            0.003862,            0.003862,            0.003862
                  64,            0.044663,            0.032935,            0.040942,            0.098081,             0.61901,             0.17007,            0.088763,            0.036269,            0.030777,            0.036621,            0.003763,            0.003763,            0.003763
                  65,            0.045069,            0.035127,            0.039541,             0.10031,             0.64367,             0.16897,            0.092548,            0.035943,            0.030229,            0.036667,            0.003664,            0.003664,            0.003664
                  66,             0.03799,            0.037223,            0.037281,             0.10778,             0.61409,             0.17639,             0.10446,            0.033713,             0.02993,            0.036613,            0.003565,            0.003565,            0.003565
                  67,            0.043999,            0.036299,            0.039623,             0.10399,             0.59638,             0.17374,            0.099468,            0.035783,            0.030001,            0.036583,            0.003466,            0.003466,            0.003466
                  68,            0.044938,            0.036598,            0.040446,             0.11056,             0.58865,             0.17557,             0.10021,            0.036273,            0.030514,            0.036583,            0.003367,            0.003367,            0.003367
                  69,            0.041075,            0.034645,            0.040201,            0.099842,             0.63058,             0.17339,             0.10003,            0.036488,            0.030234,            0.036568,            0.003268,            0.003268,            0.003268
                  70,            0.043872,            0.037761,            0.040239,             0.10391,             0.64422,             0.17781,             0.10535,            0.033074,            0.029718,            0.036537,            0.003169,            0.003169,            0.003169
                  71,            0.042869,            0.033126,            0.041078,             0.10535,             0.62729,             0.17787,             0.10603,            0.033084,             0.02944,             0.03653,             0.00307,             0.00307,             0.00307
                  72,            0.043675,            0.038178,            0.041311,               0.104,             0.63121,             0.17782,             0.10797,            0.034271,            0.029489,            0.036537,            0.002971,            0.002971,            0.002971
                  73,            0.042299,             0.03688,            0.039491,             0.10739,             0.61495,             0.18198,             0.10436,            0.033781,            0.029863,            0.036491,            0.002872,            0.002872,            0.002872
                  74,            0.043804,            0.034778,            0.041894,             0.10375,             0.64461,             0.18095,             0.10656,            0.034815,             0.02968,            0.036522,            0.002773,            0.002773,            0.002773
                  75,            0.041292,            0.035649,            0.039405,             0.11084,              0.6271,             0.18228,             0.10934,            0.033231,            0.029317,            0.036491,            0.002674,            0.002674,            0.002674
                  76,            0.041977,            0.034431,            0.039715,             0.11446,             0.63592,             0.18521,             0.11133,            0.033983,            0.029402,            0.036469,            0.002575,            0.002575,            0.002575
                  77,            0.038559,            0.034237,            0.037501,            0.099003,             0.64618,             0.18243,              0.1114,             0.03469,            0.029315,            0.036484,            0.002476,            0.002476,            0.002476
