                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.71296,                 3.1835,                 1.0885,                0.67154,                0.43187,                0.54172,                0.45412,                 0.6113,                 6.0389,                 1.0361,             0.00023375,             0.00023375,             0.00023375
                      1,                0.64532,                 1.0972,                0.99659,                0.39221,                0.59331,                0.52535,                0.41775,                0.79743,                 3.2473,                  1.287,             0.00046708,             0.00046708,             0.00046708
                      2,                0.65653,                0.97001,                 1.0041,                0.73485,                0.44666,                0.67388,                0.54028,                0.75097,                 3.0603,                 1.1107,              0.0006957,              0.0006957,              0.0006957
                      3,                0.61363,                0.79259,                0.98274,                0.47459,                0.25187,                0.36734,                0.30754,                0.60793,                 3.6992,                 1.0304,             0.00069279,             0.00069279,             0.00069279
                      4,                0.60796,                0.73173,                0.98043,                0.58635,                0.49723,                0.44313,                0.37699,                0.61369,                 3.5215,                 1.0526,             0.00069279,             0.00069279,             0.00069279
                      5,                 0.6089,                0.67966,                0.98261,                0.53912,                0.50439,                0.35926,                0.32646,                 0.5593,                 3.8442,                0.99741,             0.00068573,             0.00068573,             0.00068573
                      6,                0.58172,                0.64081,                0.96237,                0.84382,                0.49836,                0.70978,                0.62552,                0.53141,                 3.0406,                0.94245,             0.00067866,             0.00067866,             0.00067866
                      7,                0.55822,                0.59436,                 0.9619,                0.80052,                 0.4605,                0.60986,                 0.5338,                0.56396,                 3.9188,                0.96957,             0.00067159,             0.00067159,             0.00067159
                      8,                0.54271,                0.57604,                0.95853,                0.58501,                0.50174,                0.44165,                0.39229,                0.57198,                 3.5941,                0.98277,             0.00066452,             0.00066452,             0.00066452
                      9,                0.54822,                0.54177,                0.95078,                 0.6832,                0.48856,                0.63357,                0.56936,                0.52334,                 3.2586,                0.94108,             0.00065745,             0.00065745,             0.00065745
                     10,                0.53498,                0.51524,                0.95936,                0.74033,                0.57088,                0.65933,                0.59219,                0.51437,                  2.862,                0.92272,             0.00065038,             0.00065038,             0.00065038
                     11,                0.52902,                 0.4967,                0.94977,                 0.2962,                0.93199,                0.70962,                0.64546,                0.49309,                 2.8242,                 0.9125,             0.00064331,             0.00064331,             0.00064331
                     12,                0.52473,                0.50552,                0.94452,                0.85728,                 0.3908,                 0.6431,                0.57372,                 0.4936,                 3.5069,                0.92576,             0.00063625,             0.00063625,             0.00063625
                     13,                0.52511,                0.50175,                0.95155,                0.73287,                0.43344,                0.66116,                0.58951,                0.51616,                 3.8249,                0.92073,             0.00062918,             0.00062918,             0.00062918
                     14,                0.50929,                0.48343,                0.94826,                0.76968,                0.49098,                0.59712,                0.53138,                0.53018,                 3.3631,                0.96412,             0.00062211,             0.00062211,             0.00062211
                     15,                0.50573,                0.46105,                0.94418,                0.76078,                 0.4114,                0.59635,                0.52599,                0.50537,                 3.2698,                0.94113,             0.00061504,             0.00061504,             0.00061504
                     16,                0.50168,                0.45307,                0.94604,                 0.8281,                0.47676,                0.62367,                0.56245,                0.49041,                 3.5073,                0.91202,             0.00060797,             0.00060797,             0.00060797
                     17,                0.50443,                0.45304,                0.94556,                0.76209,                0.53311,                0.67484,                0.59489,                0.49562,                 3.4443,                0.91686,              0.0006009,              0.0006009,              0.0006009
                     18,                0.49693,                0.43628,                0.93959,                0.76283,                0.44936,                0.61788,                0.54081,                0.50229,                 3.7691,                 0.9528,             0.00059383,             0.00059383,             0.00059383
                     19,                0.49721,                0.42978,                0.93608,                0.77456,                0.48692,                 0.5941,                 0.5492,                0.44601,                 3.4902,                0.90151,             0.00058677,             0.00058677,             0.00058677
                     20,                0.48761,                0.41841,                0.93782,                0.89309,                0.49399,                0.65647,                0.60014,                 0.4607,                 3.5025,                 0.9049,              0.0005797,              0.0005797,              0.0005797
                     21,                0.49335,                0.41803,                0.93293,                0.83973,                0.45536,                 0.6827,                0.61033,                0.50111,                 3.4122,                 0.9332,             0.00057263,             0.00057263,             0.00057263
                     22,                0.48118,                0.38878,                0.93483,                0.89024,                0.46211,                0.66961,                0.61402,                0.46518,                 3.4276,                 0.9176,             0.00056556,             0.00056556,             0.00056556
                     23,                0.47744,                0.40172,                0.93091,                 0.7232,                0.46391,                0.58307,                0.53206,                0.47536,                 3.9185,                0.93062,             0.00055849,             0.00055849,             0.00055849
                     24,                0.47012,                0.38729,                0.92008,                0.71714,                0.51448,                0.62466,                0.58358,                0.46443,                 3.8651,                0.90141,             0.00055142,             0.00055142,             0.00055142
                     25,                0.47466,                0.37974,                0.92488,                0.80382,                0.44782,                0.61307,                0.56106,                 0.4549,                 3.5804,                0.90768,             0.00054435,             0.00054435,             0.00054435
                     26,                0.46903,                0.39898,                0.92353,                0.81323,                0.49772,                0.74466,                0.67195,                 0.4878,                 3.4336,                0.91337,             0.00053728,             0.00053728,             0.00053728
                     27,                 0.4539,                0.36879,                0.91413,                0.71783,                0.48751,                0.54159,                0.48652,                0.48445,                 4.0277,                0.92536,             0.00053022,             0.00053022,             0.00053022
                     28,                0.47141,                0.37384,                0.93509,                0.83004,                 0.4849,                0.61352,                0.55568,                0.50348,                 3.8757,                0.92545,             0.00052315,             0.00052315,             0.00052315
