                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.70462,                 3.4818,                 1.1114,                0.00415,                0.98876,                0.17842,                0.13486,                0.52143,                 3.4538,                0.90346,             0.00019278,             0.00019278,             0.00019278
                      1,                0.62882,                 1.9902,                 1.0331,                0.58546,                 0.1289,                0.37391,                0.29995,                0.52795,                 3.1006,                0.90553,             0.00038881,             0.00038881,             0.00038881
                      2,                0.61668,                 1.5101,                 1.0037,                0.71869,                0.36143,                0.50082,                0.42016,                0.61908,                  3.045,                0.98416,             0.00058089,             0.00058089,             0.00058089
                      3,                0.61382,                 1.3089,                 1.0037,                0.36693,                0.53934,                0.39528,                0.31398,                0.70015,                 2.9101,                 1.0489,             0.00069279,             0.00069279,             0.00069279
                      4,                0.62297,                 1.2128,                0.99859,                0.48996,                0.46041,                0.48555,                0.40521,                0.64704,                  2.671,                 1.0075,             0.00069279,             0.00069279,             0.00069279
                      5,                0.58393,                 1.0811,                0.98189,                0.54495,                 0.6197,                0.53375,                0.45961,                0.54247,                 3.3686,                0.94918,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.5785,                0.94603,                0.97045,                0.59895,                0.67876,                0.63835,                0.55904,                0.54749,                 3.0351,                0.94375,             0.00067866,             0.00067866,             0.00067866
                      7,                0.56854,                 0.8542,                0.96902,                0.53426,                 0.6558,                0.60035,                0.49681,                0.53005,                 2.7685,                0.94022,             0.00067159,             0.00067159,             0.00067159
                      8,                0.56414,                0.79461,                0.96177,                0.63754,                0.67579,                0.65133,                0.56347,                0.54169,                 1.8988,                0.92654,             0.00066452,             0.00066452,             0.00066452
                      9,                0.54996,                0.74845,                0.95727,                0.49808,                0.65222,                0.57637,                0.50212,                 0.5345,                 3.1052,                0.92396,             0.00065745,             0.00065745,             0.00065745
                     10,                0.54694,                0.70343,                0.96332,                0.65888,                 0.7548,                0.68071,                0.57561,                0.55364,                 2.2697,                0.94671,             0.00065038,             0.00065038,             0.00065038
                     11,                0.52727,                0.63938,                0.95217,                0.73061,                0.78329,                0.73511,                0.64362,                0.52331,                  2.496,                0.92165,             0.00064331,             0.00064331,             0.00064331
                     12,                0.52459,                0.61363,                0.94366,                0.64836,                0.67356,                 0.7559,                0.65538,                0.50393,                 2.3031,                0.90721,             0.00063625,             0.00063625,             0.00063625
